"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3431","filterByPriceRange","Suite","2026-09-18","passed","2026-09-18","Trello_TestScript.TC04_Filters","Regression","Trello_TestScript.TC04_Filters","filterByPriceRange"
"","2161","TC-W17: Category filter does not change wishlist counter","Suite","2026-09-18","passed","2026-09-18","Trello_TestScript.TC03_Wishlist","Regression","Trello_TestScript.TC03_Wishlist","TC_W17_filterDoesNotAffectWishlistCount"
"","498","TC-W18 [EDGE]: Browser back button preserves wishlist heart states","Suite","2026-09-18","passed","2026-09-18","Trello_TestScript.TC03_Wishlist","Regression","Trello_TestScript.TC03_Wishlist","TC_W18_browserBackPreservesWishlistState"
"","516","TC-W06 [EDGE]: Remove last item — empty state is shown","Suite","2026-09-18","passed","2026-09-18","Trello_TestScript.TC03_Wishlist","Regression","Trello_TestScript.TC03_Wishlist","TC_W06_removeLastItemShowsEmptyState"
"","3460","verifyCartAfterRefreshing","Suite","2026-09-18","passed","2026-09-18","Trello_TestScript.TC02_Cart","Regression","Trello_TestScript.TC02_Cart","verifyCartAfterRefreshing"
"","606","TC-W13: Wishlist persists after page refresh","Suite","2026-09-18","passed","2026-09-18","Trello_TestScript.TC03_Wishlist","Regression","Trello_TestScript.TC03_Wishlist","TC_W13_wishlistPersistsAfterRefresh"
"","3403","filterByCategory","Suite","2026-09-18","passed","2026-09-18","Trello_TestScript.TC04_Filters","Regression","Trello_TestScript.TC04_Filters","filterByCategory"
"","464","requiredFieldValidation","Suite","2026-09-18","passed","2026-09-18","Trello_TestScript.TC07_Checkout","Regression","Trello_TestScript.TC07_Checkout","requiredFieldValidation"
"","13456","TC-W09 [EDGE]: Badge does not overflow with large item count","Suite","2026-09-18","passed","2026-09-18","Trello_TestScript.TC03_Wishlist","Regression","Trello_TestScript.TC03_Wishlist","TC_W09_badgeDoesNotOverflowWithManyItems"
"","2536","verifyCartTotal","Suite","2026-09-18","passed","2026-09-18","Trello_TestScript.TC02_Cart","Regression","Trello_TestScript.TC02_Cart","verifyCartTotal"
"","685","VerifyCheckoutwithProductsinCart","Suite","2026-09-18","passed","2026-09-18","Trello_TestScript.TC02_Cart","Regression","Trello_TestScript.TC02_Cart","VerifyCheckoutwithProductsinCart"
"","517","TC-W15: Wishlist icon is consistent across listing and detail pages","Suite","2026-09-18","passed","2026-09-18","Trello_TestScript.TC03_Wishlist","Regression","Trello_TestScript.TC03_Wishlist","TC_W15_wishlistIconConsistentAcrossPages"
"","469","navigateBackToCart","Suite","2026-09-18","passed","2026-09-18","Trello_TestScript.TC07_Checkout","Regression","Trello_TestScript.TC07_Checkout","navigateBackToCart"
"","446","costCalculationCheck","Suite","2026-09-18","passed","2026-09-18","Trello_TestScript.TC07_Checkout","Regression","Trello_TestScript.TC07_Checkout","costCalculationCheck"
"","4568","applyFiltersAfterScrolling","Suite","2026-09-18","passed","2026-09-18","Trello_TestScript.TC04_Filters","Regression","Trello_TestScript.TC04_Filters","applyFiltersAfterScrolling"
"","613","TC-W08: Wishlist badge stays accurate after add and remove","Suite","2026-09-18","passed","2026-09-18","Trello_TestScript.TC03_Wishlist","Regression","Trello_TestScript.TC03_Wishlist","TC_W08_wishlistBadgeAccuracy"
"","614","TC-W03 [EDGE]: Add same product twice — no duplicate","Suite","2026-09-18","passed","2026-09-18","Trello_TestScript.TC03_Wishlist","Regression","Trello_TestScript.TC03_Wishlist","TC_W03_addSameProductTwiceNoDuplicate"
"","3337","productCountUpdatesAfterFilter","Suite","2026-09-18","passed","2026-09-18","Trello_TestScript.TC04_Filters","Regression","Trello_TestScript.TC04_Filters","productCountUpdatesAfterFilter"
"","255","verifyProductCanBeAddedToCart","Suite","2026-09-18","passed","2026-09-18","Trello_TestScript.TC02_Cart","Regression","Trello_TestScript.TC02_Cart","verifyProductCanBeAddedToCart"
"","2824","sortByRatingHighToLow","Suite","2026-09-18","passed","2026-09-18","Trello_TestScript.TC05_Sort","Regression","Trello_TestScript.TC05_Sort","sortByRatingHighToLow"
"","4511","increaseAndDecreaseProdQuality","Suite","2026-09-18","passed","2026-09-18","Trello_TestScript.TC02_Cart","Regression","Trello_TestScript.TC02_Cart","increaseAndDecreaseProdQuality"
